"","farmtype","hhsize","hhelectric","hhhdocc1","fplotarea1","yearsuse1","farmsalev","s1p1c1area","s1p1c1qharv","s1p1c1sold","pc1","extc","adm0","adm1","incfarm","incnfarm"
"4","Small","8-48","No","Farmer",1,"30-202",1e+06,"35.20999908-50",340,0,"44","1","burkinafaso","Bam",125500,"80-100"
"5","Medium","8-48","No","Farmer",5,"20-30",1e+05,"50-60",1782,0,"44","1","burkinafaso","Bam",1240000,"80-100"
"8","Small","8-48","No","Farmer",4,"0-5",1e+07,"0-20",61,0,"44","1","burkinafaso","Bam",325000,"80-100"
"33","Medium","8-48","No","Farmer",5,"20-30",1500000,"20-35.20999908",300,0,"27","1","burkinafaso","Ioba",3e+05,"0.1000000015-0.5"
"36","Small","7-8","No","Farmer",3.150000095,"20-30",1500000,"0-20",200,0,"26","1","burkinafaso","Ioba",150000,"0-0.1000000015"
"42","Large","8-48","No","Farmer",7,"20-30",8e+06,"35.20999908-50",3500,3500,"26","1","burkinafaso","Ioba",1e+06,"0-0.1000000015"
"45","Medium","8-48","No","Farmer",8,"5-10",5e+06,"0-20",200,0,"27","1","burkinafaso","Ioba",850000,"0.1000000015-0.5"
"46","Small","1-4","No","Farmer",2,"20-30",3e+05,"20-35.20999908",300,0,"26","1","burkinafaso","Ioba",250000,"0-0.1000000015"
"47","Medium","8-48","No","Farmer",6,"20-30",5e+06,"20-35.20999908",500,0,"26","1","burkinafaso","Ioba",850000,"0-0.1000000015"
"48","Small","8-48","No","Civil Servant",2.5,"5-10",3e+06,"35.20999908-50",800,0,"26","1","burkinafaso","Ioba",150000,"0.1000000015-0.5"
"51","Small","7-8","No","Farmer",4.5,"0-5",3e+06,"35.20999908-50",1600,400,"26","1","burkinafaso","Ioba",5e+05,"0-0.1000000015"
"53","Small","4-6","No","Civil Servant",1,"0-5",5e+06,"35.20999908-50",400,0,"26","1","burkinafaso","Ioba",80000,"0.5-5"
"54","Medium","8-48","No","Farmer",5.050000191,"5-10",65000,"20-35.20999908",588,196,"26","1","burkinafaso","Bougouriba",465000,"0-0"
"55","Medium","8-48","No","Farmer",5,"5-10",40000,"0-20",432,0,"44","1","burkinafaso","Bougouriba",3e+05,"20-35"
"56","Large","8-48","No","Farmer",5.5,"0-5",30000,"50-60",1080,216,"26","1","burkinafaso","Bougouriba",8e+05,"0-0"
"57","Small","1-4","No","Farmer",5,"0-5",40000,"0-20",432,0,"44","1","burkinafaso","Bougouriba",250000,"0-0"
"58","Small","4-6","No","Farmer",5.75,"0-5",50000,"35.20999908-50",1900,1900,"26","1","burkinafaso","Bougouriba",450000,"0-0"
"59","Large","8-48","No","Farmer",4,"0-5",35000,"20-35.20999908",324,0,"44","2","burkinafaso","Bougouriba",110000,"20-35"
"60","Medium","4-6","No","Farmer",2.75,"20-30",25000,"0-20",294,0,"44","2","burkinafaso","Bougouriba",150000,"35-52"
"61","Large","8-48","No","Farmer",5.5,"20-30",1e+05,"35.20999908-50",588,0,"26","2","burkinafaso","Bougouriba",57000,"0-0"
"63","Small","4-6","No","Farmer",5.25,"0-5",65000,"35.20999908-50",756,432,"44","1","burkinafaso","Bougouriba",4e+05,"0-0"
"64","Large","8-48","No","Farmer",5.75,"10-20",5e+05,"35.20999908-50",963,963,"14","1","burkinafaso","Bougouriba",9e+05,"35-52"
"65","Medium","7-8","No","Farmer",5.5,"5-10",2e+05,"20-35.20999908",2940,1470,"26","1","burkinafaso","Bougouriba",590000,"35-52"
"66","Medium","8-48","No","Farmer",3.75,"5-10",40000,"20-35.20999908",648,108,"44","1","burkinafaso","Bougouriba",53000,"0-0"
"68","Small","7-8","No","Farmer",5.25,"5-10",85000,"50-60",2220,2220,"14","1","burkinafaso","Bougouriba",6e+05,"80-100"
"69","Medium","8-48","No","Farmer",3.75,"10-20",27000,"0-20",34,17,"44","1","burkinafaso","Bougouriba",90000,"0-0"
"70","Medium","8-48","No","Farmer",6.75,"0-5",75000,"35.20999908-50",324,108,"44","2","burkinafaso","Bougouriba",85000,"0-0"
"71","Large","8-48","No","Farmer",8.869999886,"0-5",130000,"20-35.20999908",216,0,"44","2","burkinafaso","Bougouriba",125000,"0-0"
"72","Large","8-48","No","Farmer",5.150000095,"5-10",85000,"35.20999908-50",432,0,"44","1","burkinafaso","Bougouriba",1e+05,"0-0"
"73","Large","8-48","No","Farmer",5.079999924,"5-10",90000,"80-100",648,216,"44","1","burkinafaso","Bougouriba",65000,"0-0"
"74","Large","8-48","No","Farmer",3.529999971,"0-5",95000,"35.20999908-50",216,0,"44","1","burkinafaso","Bougouriba",1e+05,"0-0"
"75","Large","8-48","No","Farmer",4,"0-5",5e+07,"35.20999908-50",1800,1800,"26","1","burkinafaso","Boulgou",2e+06,"0-0"
"77","Large","8-48","No","Agricultural Labour",1.75,"0-5",3.5e+07,"80-100",1500,0,"26","1","burkinafaso","Boulgou",750000,"52-80"
"80","Large","8-48","No","Farmer",4,"10-20",3e+07,"60-80",2500,0,"27","1","burkinafaso","Boulgou",1200000,"5-20"
"81","Small","4-6","No","Farmer",1,"0-5",2e+06,"80-100",800,0,"27","1","burkinafaso","Boulgou",2e+05,"0-0"
"84","Small","1-4","No","Student",2,"5-10",4e+06,"20-35.20999908",400,0,"27","1","burkinafaso","Boulgou",350000,"0-0"
"85","Small","1-4","No","Farmer",1,"0-5",2e+06,"20-35.20999908",300,0,"26","1","burkinafaso","Boulgou",3e+05,"0-0"
"89","Small","8-48","No","Farmer",3.5,"5-10",3e+05,"60-80",2250,0,"44","1","burkinafaso","Boulkiemde",30500,"80-100"
"107","Medium","8-48","No","Farmer",8,"5-10",1e+06,"50-60",1150,48,"44","1","burkinafaso","Boulkiemde",42750,"20-35"
"117","Medium","7-8","No","Agricultural Labour",1.5,"20-30",1e+06,"35.20999908-50",1500,500,"26","1","burkinafaso","Poni",150000,"35-52"
"118","Medium","7-8","No","Agricultural Labour",4,"0-5",1500000,"20-35.20999908",1500,0,"26","2","burkinafaso","Poni",50000,"52-80"
"120","Medium","8-48","No","Agricultural Labour",2,"0-5",4e+06,"80-100",4500,2000,"26","1","burkinafaso","Poni",330000,"80-100"
"122","Small","4-6","No","Agricultural Labour",1,"0-5",3e+06,"60-80",500,0,"26","1","burkinafaso","Poni",75000,"35-52"
"183","Small","7-8","No","Farmer",1.5,"20-30",8625000,"20-35.20999908",2000,1000,"44","1","burkinafaso","Ganzourgou",701625,"0-0"
"184","Large","8-48","No","Farmer",20,"20-30",5385000,"35.20999908-50",8400,1000,"44","1","burkinafaso","Ganzourgou",1847000,"0-0.1000000015"
"185","Small","8-48","No","Farmer",2,"10-20",2220000,"35.20999908-50",2500,2500,"14","1","burkinafaso","Ganzourgou",700150,"0-0"
"186","Large","8-48","No","Farmer",4,"20-30",11289000,"35.20999908-50",10500,500,"44","1","burkinafaso","Ganzourgou",2276700,"0-0.1000000015"
"187","Medium","6-7","No","Farmer",2.5,"20-30",2.5e+07,"20-35.20999908",25000,22600,"56","1","burkinafaso","Ganzourgou",708500,"0-0.1000000015"
"188","Large","8-48","No","Farmer",6,"20-30",5555000,"20-35.20999908",4800,600,"44","1","burkinafaso","Ganzourgou",2470600,"0.1000000015-0.5"
"189","Medium","8-48","No","Farmer",20,"10-20",3840000,"0-20",3000,0,"44","1","burkinafaso","Ganzourgou",1470000,"0-0"
"190","Small","8-48","No","Farmer",1.25,"0-5",6360000,"35.20999908-50",600,100,"27","1","burkinafaso","Ganzourgou",164000,"0.5-5"
"191","Medium","8-48","No","Farmer",2,"20-30",3445000,"50-60",5400,600,"44","1","burkinafaso","Ganzourgou",1110000,"20-35"
"192","Small","8-48","No","Farmer",1.5,"20-30",3427500,"20-35.20999908",1300,1300,"14","1","burkinafaso","Ganzourgou",797500,"0-0"
"193","Large","8-48","No","Farmer",3,"20-30",5457000,"35.20999908-50",2700,200,"44","1","burkinafaso","Ganzourgou",1127000,"0-0"
"194","Small","8-48","No","Farmer",1.5,"10-20",6610000,"20-35.20999908",2600,900,"26","1","burkinafaso","Ganzourgou",787750,"0.1000000015-0.5"
"195","Small","8-48","No","Farmer",1.5,"20-30",1145000,"20-35.20999908",1300,1300,"14","1","burkinafaso","Ganzourgou",568500,"0.1000000015-0.5"
"196","Medium","8-48","No","Farmer",7,"10-20",1400000,"35.20999908-50",2000,1000,"27","2","burkinafaso","Ganzourgou",562000,"0.1000000015-0.5"
"197","Medium","8-48","No","Farmer",4,"10-20",4243000,"35.20999908-50",4500,1000,"44","1","burkinafaso","Ganzourgou",610000,"0.1000000015-0.5"
"198","Large","8-48","No","Farmer",4,"20-30",22465000,"20-35.20999908",5000,5000,"14","1","burkinafaso","Ganzourgou",1065000,"0-0.1000000015"
"199","Medium","8-48","No","Farmer",2.5,"20-30",9395000,"20-35.20999908",2375,2375,"14","1","burkinafaso","Ganzourgou",750000,"0.1000000015-0.5"
"200","Medium","8-48","No","Farmer",1.5,"20-30",2500000,"20-35.20999908",1800,1800,"14","1","burkinafaso","Ganzourgou",596000,"0.1000000015-0.5"
"201","Medium","8-48","No","Farmer",2.5,"20-30",7800000,"20-35.20999908",3750,3700,"14","1","burkinafaso","Ganzourgou",1104500,"0.1000000015-0.5"
"204","Small","6-7","No","Farmer",1.5,"10-20",3e+06,"35.20999908-50",1350,650,"44","1","burkinafaso","Ganzourgou",378500,"0-0"
"205","Small","8-48","No","Farmer",1.5,"10-20",5900000,"20-35.20999908",2600,900,"26","1","burkinafaso","Ganzourgou",850000,"0.1000000015-0.5"
"206","Small","8-48","No","Farmer",1.5,"20-30",2750000,"20-35.20999908",1800,1800,"14","1","burkinafaso","Ganzourgou",625000,"0.1000000015-0.5"
"207","Large","8-48","No","Farmer",2,"20-30",6500000,"35.20999908-50",8400,850,"24","1","burkinafaso","Ganzourgou",1950000,"0-0.1000000015"
"208","Medium","8-48","No","Farmer",1.5,"20-30",1200000,"20-35.20999908",1300,1300,"14","1","burkinafaso","Ganzourgou",750000,"0.1000000015-0.5"
"209","Medium","7-8","No","Farmer",1.5,"20-30",3700000,"20-35.20999908",2000,900,"44","1","burkinafaso","Ganzourgou",850000,"0-0"
"210","Medium","8-48","No","Farmer",2,"20-30",2750000,"20-35.20999908",1600,0,"44","1","burkinafaso","Ganzourgou",692000,"0.1000000015-0.5"
"240","Small","8-48","No","Farmer",6,"5-10",3e+06,"60-80",3000,2050,"27","1","burkinafaso","Gourma",635000,"0-0"
"241","Medium","8-48","No","Farmer",14,"5-10",2e+07,"35.20999908-50",5250,1450,"27","1","burkinafaso","Gourma",943100,"0-0"
"242","Medium","8-48","No","Farmer",8,"10-20",1.5e+07,"20-35.20999908",2000,890,"44","1","burkinafaso","Gourma",1066850,"0-0"
"243","Small","8-48","No","Farmer",6,"5-10",1500000,"60-80",2500,0,"27","1","burkinafaso","Gourma",319875,"52-80"
"244","Small","7-8","No","Farmer",3.25,"10-20",490000,"60-80",700,0,"27","1","burkinafaso","Gourma",111750,"20-35"
"245","Small","6-7","No","Farmer",5,"10-20",1250000,"50-60",2000,500,"27","1","burkinafaso","Gourma",225000,"20-35"
"246","Medium","8-48","No","Farmer",8,"5-10",2150000,"35.20999908-50",3200,500,"27","1","burkinafaso","Gourma",559000,"0-0"
"247","Medium","8-48","No","Farmer",5,"30-202",1365000,"50-60",3000,400,"44","1","burkinafaso","Gourma",50000,"52-80"
"248","Medium","4-6","No","Farmer",6.5,"20-30",1620000,"80-100",3000,400,"27","1","burkinafaso","Gourma",201000,"35-52"
"249","Medium","4-6","No","Farmer",5.25,"10-20",1080000,"35.20999908-50",2000,300,"44","1","burkinafaso","Gourma",20500,"0-0"
"250","Small","8-48","No","Farmer",5.25,"0-5",1500000,"35.20999908-50",2100,20,"44","1","burkinafaso","Gourma",41200,"0-0"
"251","Small","4-6","No","Farmer",3,"0-5",615000,"60-80",1700,200,"44","1","burkinafaso","Gourma",182000,"0-0"
"252","Small","1-4","No","Farmer",2.75,"0-5",4e+05,"35.20999908-50",250,0,"44","1","burkinafaso","Gourma",24500,"0-0"
"253","Medium","8-48","No","Farmer",12,"10-20",3e+06,"80-100",7000,2000,"27","1","burkinafaso","Gourma",212000,"0-0"
"256","Small","4-6","No","Farmer",5,"10-20",1250000,"60-80",1200,200,"27","1","burkinafaso","Gourma",124500,"0-0"
"258","Small","4-6","No","Farmer",3,"5-10",750000,"80-100",1500,500,"27","1","burkinafaso","Gourma",1e+05,"52-80"
"259","Medium","8-48","No","Farmer",17.5,"10-20",4320000,"50-60",4000,0,"27","1","burkinafaso","Gourma",716500,"0-0"
"260","Medium","8-48","No","Farmer",11.5,"20-30",4860000,"35.20999908-50",2000,1000,"44","1","burkinafaso","Gourma",333700,"0-0"
"264","Small","8-48","No","Farmer",2.5,"10-20",540000,"50-60",825,0,"27","1","burkinafaso","Gourma",0,"0-0"
"265","Small","6-7","No","Farmer",6.25,"10-20",1e+06,"50-60",3600,0,"27","1","burkinafaso","Gourma",157250,"0-0"
"266","Small","1-4","No","Farmer",0,"0-5",350000,"80-100",1000,400,"44","1","burkinafaso","Komandjari",185000,"80-100"
"267","Small","1-4","No","Farmer",0.75,"0-5",475000,"80-100",1000,400,"44","1","burkinafaso","Komandjari",1e+05,"80-100"
"270","Medium","8-48","No","Farmer",3,"10-20",1e+06,"80-100",2000,200,"44","2","burkinafaso","Komandjari",1e+05,"80-100"
"271","Small","1-4","No","Farmer",0.75,"0-5",1e+05,"80-100",400,0,"44","2","burkinafaso","Komandjari",0,"80-100"
"272","Medium","7-8","No","Farmer",1.75,"5-10",5e+05,"80-100",1500,0,"44","1","burkinafaso","Komandjari",0,"80-100"
"336","Small","4-6","No","Agricultural Labour",3,"10-20",550000,"35.20999908-50",3000,500,"26","1","burkinafaso","Houet",3e+05,"80-100"
"359","Medium","8-48","No","Farmer",10.25,"5-10",1350000,"20-35.20999908",8890,8890,"14","1","burkinafaso","Tuy",1107215,"0-0.1000000015"
"361","Large","8-48","No","Farmer",9,"10-20",1250000,"35.20999908-50",6300,6300,"14","1","burkinafaso","Tuy",858925,"0.1000000015-0.5"
"362","Medium","8-48","No","Farmer",7,"10-20",355000,"35.20999908-50",1500,110,"27","1","burkinafaso","Tuy",150400,"0.1000000015-0.5"
"363","Medium","8-48","No","Farmer",10,"5-10",3100000,"35.20999908-50",20000,15000,"26","1","burkinafaso","Tuy",2048000,"0.1000000015-0.5"
"364","Medium","8-48","No","Farmer",3,"5-10",3500000,"0-20",2400,2400,"14","1","burkinafaso","Tuy",770000,"0-0.1000000015"
"366","Large","8-48","No","Farmer",8,"5-10",1550000,"50-60",8000,8000,"14","1","burkinafaso","Tuy",1652000,"0.1000000015-0.5"
"367","Medium","8-48","No","Farmer",9,"0-5",1095000,"60-80",6900,6900,"14","1","burkinafaso","Tuy",789030,"0.1000000015-0.5"
"368","Large","8-48","No","Farmer",12.5,"20-30",3750000,"20-35.20999908",11627.5,11627.5,"14","1","burkinafaso","Tuy",2529507,"0-0"
"369","Small","8-48","No","Farmer",3.25,"5-10",875000,"20-35.20999908",2624,6560,"14","1","burkinafaso","Tuy",726815,"0-0.1000000015"
"371","Small","6-7","No","Farmer",2.25,"0-5",5e+05,"35.20999908-50",8725,1900,"26","1","burkinafaso","Tuy",142250,"0.1000000015-0.5"
"372","Large","8-48","Yes","Farmer",11,"0-5",2200000,"35.20999908-50",10350,10350,"14","1","burkinafaso","Tuy",1926500,"0.5-5"
"373","Small","7-8","No","Farmer",3.25,"0-5",5e+05,"35.20999908-50",2013,2013,"14","1","burkinafaso","Tuy",603500,"0.1000000015-0.5"
"374","Small","8-48","No","Farmer",4,"5-10",5e+06,"35.20999908-50",2995,2995,"14","1","burkinafaso","Tuy",225500,"0-0"
"375","Small","4-6","No","Farmer",3,"5-10",350000,"20-35.20999908",2000,0,"26","2","burkinafaso","Tuy",46350,"0-0"
"376","Large","8-48","No","Farmer",10.86999989,"5-10",1e+07,"35.20999908-50",7174,1174,"14","1","burkinafaso","Tuy",1485702,"0-0.1000000015"
"377","Medium","8-48","No","Farmer",4,"5-10",5e+06,"0-20",700,0,"26","1","burkinafaso","Tuy",201150,"0.5-5"
"378","Small","8-48","Yes","Artisan",5.5,"10-20",560000,"35.20999908-50",1400,0,"44","1","burkinafaso","Tuy",91000,"0.5-5"
"379","Small","8-48","No","Farmer",4,"10-20",650000,"35.20999908-50",2450,2450,"14","1","burkinafaso","Tuy",381560,"0.5-5"
"380","Large","8-48","No","Farmer",9.25,"10-20",1475000,"20-35.20999908",5600,5600,"14","1","burkinafaso","Tuy",1205600,"0.5-5"
"412","Small","4-6","No","Farmer",4,"10-20",250000,"20-35.20999908",1000,500,"26","1","burkinafaso","Kenedougou",248750,"0-0"
"422","Large","8-48","No","Farmer",6,"5-10",2e+07,"35.20999908-50",21000,7000,"14","1","burkinafaso","Kenedougou",3e+07,"0.1000000015-0.5"
"425","Medium","8-48","No","Office Worker",4,"20-30",5.6e+07,"50-60",4500,4500,"14","1","burkinafaso","Kenedougou",440000,"0.5-5"
"435","Large","8-48","No","Farmer",5,"30-202",3e+06,"35.20999908-50",7200,0,"26","1","burkinafaso","Kenedougou",1381750,"0-0.1000000015"
"487","Small","7-8","No","Farmer",3,"20-30",1e+05,"60-80",1600,0,"22","1","burkinafaso","Kossi",77000,"0.5-5"
"489","Medium","1-4","No","Farmer",4,"0-5",75000,"50-60",1836,204,"27","1","burkinafaso","Kossi",57207,"80-100"
"492","Medium","6-7","No","Farmer",6,"0-5",1500000,"35.20999908-50",3672,1530,"27","1","burkinafaso","Kossi",492199,"80-100"
"493","Small","6-7","No","Farmer",2,"5-10",150000,"50-60",1224,306,"27","2","burkinafaso","Kossi",113944,"80-100"
"495","Medium","8-48","No","Farmer",3,"5-10",5e+06,"35.20999908-50",1200,340,"27","1","burkinafaso","Kossi",93000,"80-100"
"496","Small","7-8","No","Farmer",2,"10-20",1e+06,"35.20999908-50",200,0,"27","1","burkinafaso","Kossi",31000,"80-100"
"497","Medium","6-7","No","Farmer",3,"5-10",1e+06,"35.20999908-50",3000,800,"27","1","burkinafaso","Kossi",170025,"80-100"
"498","Medium","8-48","No","Farmer",6,"5-10",2e+06,"35.20999908-50",7000,240,"27","1","burkinafaso","Kossi",966900,"80-100"
"504","Medium","8-48","No","Farmer",3,"20-30",2300000,"50-60",2000,400,"14","1","burkinafaso","Kossi",85675,"80-100"
"508","Medium","4-6","No","Farmer",3,"5-10",150000,"20-35.20999908",4000,4000,"27","1","burkinafaso","Kossi",570050,"80-100"
"539","Small","4-6","No","Other",0.5,"10-20",1250000,"0-20",25,10,"44","1","burkinafaso","Kouritenga",6,"52-80"
"540","Small","1-4","No","Agricultural Labour",0.400000006,"20-30",1e+06,"0-20",40,20,"12","1","burkinafaso","Kouritenga",6,"20-35"
"541","Small","4-6","No","Farmer",0.3899999857,"30-202",8e+05,"35.20999908-50",250,50,"27","1","burkinafaso","Kouritenga",6,"5-20"
"542","Small","4-6","No","Farmer",0.2700000107,"30-202",1e+06,"20-35.20999908",580,80,"22","1","burkinafaso","Kouritenga",6,"80-100"
"543","Small","4-6","No","Farmer",1.230000019,"10-20",1200000,"0-20",190,100,"22","1","burkinafaso","Kouritenga",6,"5-20"
"544","Small","8-48","No","Farmer",1.700000048,"30-202",5e+05,"35.20999908-50",672,612,"26","1","burkinafaso","Kouritenga",6,"52-80"
"549","Small","4-6","No","Farmer",1.610000014,"30-202",2e+06,"0-20",150,100,"27","1","burkinafaso","Kouritenga",6,"5-20"
"551","Small","4-6","No","Farmer",0.4499999881,"30-202",6e+05,"0-20",100,0,"27","1","burkinafaso","Kouritenga",6,"5-20"
"552","Small","4-6","No","Farmer",1.429999948,"20-30",1500000,"0-20",500,500,"27","1","burkinafaso","Kouritenga",6,"5-20"
"554","Small","1-4","No","Farmer",0.4799999893,"30-202",6e+05,"35.20999908-50",300,200,"27","1","burkinafaso","Kouritenga",6,"5-20"
"556","Small","4-6","No","Farmer",2.430000067,"10-20",5e+05,"0-20",500,100,"27","1","burkinafaso","Kouritenga",6,"52-80"
"558","Small","8-48","No","Farmer",1.5,"30-202",1500000,"35.20999908-50",600,0,"44","1","burkinafaso","Kouritenga",6,"35-52"
"560","Small","4-6","No","Farmer",1.330000043,"20-30",3e+06,"35.20999908-50",1500,500,"44","1","burkinafaso","Kouritenga",6,"52-80"
"561","Small","8-48","No","Farmer",1.870000005,"5-10",2400000,"35.20999908-50",700,0,"44","1","burkinafaso","Kouritenga",6,"20-35"
"564","Small","4-6","No","Farmer",1.570000052,"5-10",1600000,"35.20999908-50",500,0,"44","1","burkinafaso","Kouritenga",6,"20-35"
"566","Small","4-6","No","Farmer",1.700000048,"30-202",1500000,"35.20999908-50",750,0,"44","1","burkinafaso","Kouritenga",6,"5-20"
"567","Small","4-6","No","Farmer",1.5,"5-10",1600000,"60-80",500,0,"44","1","burkinafaso","Kouritenga",6,"20-35"
"569","Small","6-7","No","Farmer",3,"10-20",3e+06,"35.20999908-50",1960,960,"39","1","burkinafaso","Bale",114000,"80-100"
"570","Medium","8-48","No","Farmer",5,"10-20",5e+06,"50-60",4200,1000,"26","1","burkinafaso","Bale",327950,"80-100"
"571","Small","7-8","No","Farmer",4.5,"10-20",1200000,"20-35.20999908",900,50,"44","1","burkinafaso","Bale",22750,"80-100"
"586","Small","8-48","No","Farmer",3,"5-10",3e+06,"0-20",500,500,"27","1","burkinafaso","Mou Houn",207500,"0-0.1000000015"
"587","Medium","8-48","No","Farmer",5.5,"20-30",1e+07,"60-80",5300,5300,"27","1","burkinafaso","Mou Houn",1107500,"0.1000000015-0.5"
"590","Small","6-7","No","Farmer",2,"30-202",2300000,"50-60",2000,0,"27","1","burkinafaso","Mou Houn",657500,"0.5-5"
"593","Small","8-48","No","Farmer",3.5,"20-30",5e+06,"50-60",1800,0,"27","1","burkinafaso","Mou Houn",483000,"0.1000000015-0.5"
"594","Small","8-48","No","Farmer",4,"20-30",2e+06,"35.20999908-50",3300,0,"27","1","burkinafaso","Mou Houn",8e+05,"0-0"
"595","Small","6-7","No","Farmer",4,"10-20",2e+06,"60-80",2100,0,"27","1","burkinafaso","Mou Houn",450000,"0.5-5"
"596","Small","7-8","No","Farmer",5,"30-202",2e+06,"50-60",1800,0,"27","1","burkinafaso","Mou Houn",350000,"0-0"
"597","Small","4-6","No","Farmer",6,"30-202",2e+06,"0-20",872,872,"27","1","burkinafaso","Mou Houn",217750,"0-0"
"598","Medium","8-48","No","Farmer",13,"10-20",3e+06,"35.20999908-50",6000,6000,"27","1","burkinafaso","Mou Houn",2002100,"0-0.1000000015"
"600","Medium","8-48","No","Farmer",11,"20-30",6e+06,"50-60",5200,0,"27","1","burkinafaso","Mou Houn",1797900,"0-0.1000000015"
"601","Small","7-8","No","Farmer",6,"10-20",4e+06,"50-60",1800,0,"27","1","burkinafaso","Mou Houn",1952500,"0-0.1000000015"
"602","Small","8-48","No","Farmer",5,"30-202",4e+06,"60-80",6460,6460,"27","1","burkinafaso","Mou Houn",1425400,"0-0"
"603","Medium","8-48","No","Farmer",16,"20-30",1e+08,"50-60",16000,16000,"27","1","burkinafaso","Mou Houn",5076000,"0-0"
"604","Medium","8-48","No","Farmer",12,"30-202",1e+07,"50-60",6000,0,"27","1","burkinafaso","Mou Houn",3047500,"0-0.1000000015"
"649","Small","8-48","No","Agricultural Labour",2.5,"10-20",750000,"35.20999908-50",700,100,"27","1","burkinafaso","Namentenga",1e+05,"80-100"
"655","Medium","8-48","No","Farmer",3,"20-30",5e+06,"60-80",2000,600,"27","1","burkinafaso","Namentenga",1e+05,"52-80"
"658","Small","8-48","No","Health Worker",3,"20-30",5e+05,"20-35.20999908",800,200,"27","1","burkinafaso","Namentenga",515000,"35-52"
"710","Small","4-6","No","Farmer",5,"5-10",3e+05,"60-80",800,150,"44","1","burkinafaso","Oudalan",45000,"20-35"
"711","Small","4-6","No","Farmer",6,"20-30",105000,"80-100",5000,800,"44","1","burkinafaso","Oudalan",240000,"5-20"
"712","Medium","8-48","No","Farmer",12,"0-5",150000,"80-100",5000,1900,"27","2","burkinafaso","Oudalan",475000,"20-35"
"713","Medium","8-48","No","Farmer",3,"20-30",150000,"60-80",8000,1800,"44","2","burkinafaso","Oudalan",360000,"5-20"
"714","Small","7-8","No","Farmer",5,"5-10",2e+05,"80-100",38000,1880,"44","1","burkinafaso","Oudalan",1410000,"35-52"
"715","Small","7-8","No","Farmer",6,"20-30",3e+05,"80-100",39100,1840,"44","1","burkinafaso","Oudalan",1e+06,"52-80"
"716","Small","1-4","No","Farmer",5,"5-10",1e+05,"80-100",4000,850,"44","2","burkinafaso","Oudalan",255000,"52-80"
"717","Small","4-6","No","Farmer",5,"10-20",4e+05,"80-100",12000,1500,"44","1","burkinafaso","Oudalan",410000,"35-52"
"718","Medium","4-6","No","Farmer",7,"20-30",150000,"80-100",27000,11500,"27","1","burkinafaso","Oudalan",3450000,"0-0"
"719","Small","1-4","No","Farmer",10,"30-202",2e+05,"80-100",4000,700,"27","1","burkinafaso","Oudalan",210000,"5-20"
"720","Small","1-4","No","Farmer",10,"10-20",1e+05,"80-100",6500,500,"27","1","burkinafaso","Oudalan",150000,"0-0"
"721","Small","1-4","No","Farmer",6,"30-202",150000,"60-80",6000,1000,"27","1","burkinafaso","Oudalan",3e+05,"0-0"
"722","Medium","4-6","No","Farmer",7,"30-202",2e+05,"80-100",7000,1000,"27","1","burkinafaso","Oudalan",3e+05,"5-20"
"723","Small","1-4","No","Farmer",6,"30-202",150000,"60-80",5000,600,"27","1","burkinafaso","Oudalan",180000,"5-20"
"724","Small","8-48","No","Farmer",7,"30-202",1700000,"20-35.20999908",12750,0,"44","1","burkinafaso","Passore",909500,"80-100"
"727","Small","8-48","No","Farmer",4.050000191,"0-5",2500000,"60-80",10500,0,"44","1","burkinafaso","Passore",511500,"80-100"
"729","Small","8-48","No","Farmer",2.650000095,"10-20",4500000,"50-60",4750,38,"27","1","burkinafaso","Passore",202500,"80-100"
"745","Small","8-48","No","Farmer",2.650000095,"30-202",1100000,"0-20",1500,0,"44","2","burkinafaso","Passore",196000,"80-100"
"746","Small","8-48","No","Farmer",5,"20-30",2350000,"20-35.20999908",1600,50,"44","2","burkinafaso","Passore",627950,"80-100"
"747","Small","8-48","No","Farmer",3.5,"0-5",2650000,"20-35.20999908",7200,0,"24","2","burkinafaso","Passore",486600,"80-100"
"751","Small","1-4","No","Farmer",3,"5-10",47000,"20-35.20999908",324,0,"44","2","burkinafaso","Noumbiel",48000,"0-0"
"752","Medium","7-8","No","Farmer",5,"5-10",150000,"20-35.20999908",300,0,"44","2","burkinafaso","Noumbiel",124000,"20-35"
"755","Small","1-4","No","Farmer",4,"5-10",50000,"50-60",294,0,"26","2","burkinafaso","Noumbiel",80000,"0-0"
"756","Medium","4-6","No","Farmer",5,"10-20",1e+05,"35.20999908-50",1080,0,"44","2","burkinafaso","Noumbiel",60000,"0-0"
"757","Large","8-48","No","Farmer",4,"10-20",1e+05,"20-35.20999908",392,0,"44","1","burkinafaso","Noumbiel",3e+05,"0-0"
"758","Small","1-4","No","Farmer",5,"10-20",2e+05,"35.20999908-50",200,0,"44","1","burkinafaso","Noumbiel",3e+05,"0-0"
"759","Large","8-48","No","Farmer",4,"5-10",1e+05,"20-35.20999908",1200,0,"26","1","burkinafaso","Noumbiel",105000,"5-20"
"761","Large","8-48","No","Farmer",5,"20-30",275000,"20-35.20999908",1080,0,"44","2","burkinafaso","Noumbiel",7e+05,"0-0"
"762","Medium","7-8","No","Farmer",12,"10-20",250000,"0-20",1000,1000,"26","1","burkinafaso","Noumbiel",268000,"35-52"
"763","Medium","8-48","No","Farmer",6,"10-20",5e+05,"0-20",200,100,"26","1","burkinafaso","Noumbiel",42000,"52-80"
