farmtype,hhsize,hhelectric,hhhdocc1,fplotarea1,plotunits,yearsuse1,farmsalev,s1p1c1area,s1p1c1qharv,s1p1c1cons,s1p1c1lives,s1p1c1lost,s1p1c1sold,pc1,extc,adm0,adm1,incfarm,incnfarm,"""cleanData2$adm0"""
2,22,2,1,5,HA,60,650000,9,520,300,0,20,200,44,1,burkinafaso,Bam,375000,1500000,cleanData2$adm0
2,20,2,1,5,HA,60,650000,9,750,370,0,15,0,44,1,burkinafaso,Bam,1450000,750000,cleanData2$adm0
2,12,2,1,3,HA,7,650000,7,310,250,0,10,0,44,1,burkinafaso,Bam,750000,360000,cleanData2$adm0
1,11,2,1,1,HA,107,1000000,50,340,300,0,40,0,44,1,burkinafaso,Bam,125500,602500,cleanData2$adm0
2,24,2,1,5,HA,23,100000,55,1782,1602,30,50,0,44,1,burkinafaso,Bam,1240000,775000,cleanData2$adm0
2,25,2,1,4,HA,31,650000,60,1250,764,160,20,90,44,1,burkinafaso,Bam,1150000,115000,cleanData2$adm0
1,14,2,1,4,HA,30,650000,52,972,950,16,15,0,44,2,burkinafaso,Bam,856000,1200000,cleanData2$adm0
1,14,2,1,4,HA,5,10000000,5,61,30,0,15,0,44,1,burkinafaso,Bam,325000,750000,cleanData2$adm0
1,9,2,1,4,HA,17,650000,45,1785,1600,30,20,0,44,1,burkinafaso,Bam,550000,300000,cleanData2$adm0
2,10,2,1,3,HA,25,650000,80,1296,1100,20,10,0,44,1,burkinafaso,Bam,300000,500000,cleanData2$adm0
2,32,2,1,3,HA,18,650000,87,2270,2200,25,35,0,44,1,burkinafaso,Bam,500000,500000,cleanData2$adm0
1,11,2,1,2,HA,11,650000,80,810,750,0,20,0,44,1,burkinafaso,Bam,100000,75000,cleanData2$adm0
1,6,2,1,2,HA,25,650000,48,1950,1500,30,25,320,44,2,burkinafaso,Bam,525000,120000,cleanData2$adm0
1,6,2,1,1.5,HA,8,650000,55,972,500,10,15,200,44,1,burkinafaso,Bam,560000,100000,cleanData2$adm0
2,16,2,1,4.5,HA,21,650000,75,972,900,10,10,0,44,2,burkinafaso,Bam,400000,175000,cleanData2$adm0
1,14,2,1,2,HA,115,2000000,50,600,500,0,100,0,44,1,burkinafaso,Bam,400000,350000,cleanData2$adm0
2,6,2,1,3,HA,15,1000000,50,1000,800,100,100,100,44,1,burkinafaso,Bam,500000,175000,cleanData2$adm0
2,19,2,1,3,HA,15,1700000,50,1200,1050,100,50,0,44,1,burkinafaso,Bam,550000,600000,cleanData2$adm0
1,10,2,1,1.5,HA,15,3000000,50,1000,850,0,150,100,44,1,burkinafaso,Bam,500000,120000,cleanData2$adm0
2,23,2,1,7,HA,15,10000000,50,4000,3600,200,200,100,44,1,burkinafaso,Bam,750000,20000,cleanData2$adm0
2,10,2,1,3,HA,15,2000000,50,700,640,10,50,100,44,1,burkinafaso,Bam,250000,30000,cleanData2$adm0
1,10,2,1,2.0999999049999998,HA,15,2000000,50,500,480,1,20,100,44,1,burkinafaso,Bam,350000,200000,cleanData2$adm0
2,20,2,1,3,HA,15,2000000,50,700,650,0,50,100,44,1,burkinafaso,Bam,600000,600000,cleanData2$adm0
1,12,2,1,2,HA,15,1000000,50,1000,864,36,100,100,44,1,burkinafaso,Bam,400000,300000,cleanData2$adm0
1,11,2,1,2,HA,15,500000,50,500,480,0,20,100,44,1,burkinafaso,Bam,250000,25000,cleanData2$adm0
2,9,2,1,4,HA,15,1000000,50,2500,2000,200,100,300,44,1,burkinafaso,Bam,1000000,15000,cleanData2$adm0
1,7,2,1,1,HA,15,300000,50,300,295,0,5,100,44,1,burkinafaso,Bam,100000,50000,cleanData2$adm0
1,12,2,1,2.5,HA,15,1100000,50,700,550,50,100,100,44,1,burkinafaso,Bam,250000,200000,cleanData2$adm0
1,6,2,1,1,HA,15,300000,50,500,498,0,2,100,44,1,burkinafaso,Bam,150000,50000,cleanData2$adm0
2,13,2,1,2,HA,15,2000000,50,500,140,50,18,300,44,1,burkinafaso,Bam,500000,225000,cleanData2$adm0
1,6,2,1,3,HA,29,3000000,50,100,100,0,10,0,26,1,burkinafaso,Ioba,100000,0.3000000119,cleanData2$adm0
1,8,2,1,5,HA,15,3000000,50,200,200,0,50,0,27,1,burkinafaso,Ioba,125000,0.200000003,cleanData2$adm0
2,17,2,1,5,HA,25,1500000,30,300,300,0,0,0,27,1,burkinafaso,Ioba,300000,0.200000003,cleanData2$adm0
1,4,2,1,5,HA,23,1500000,50,1300,0,0,60,1300,27,1,burkinafaso,Ioba,500000,0.3000000119,cleanData2$adm0
1,8,2,1,2.5,HA,15,3000000,50,400,400,0,0,0,26,1,burkinafaso,Ioba,150000,0.200000003,cleanData2$adm0
1,8,2,1,3.1500000950000002,HA,30,1500000,15.86999989,200,200,0,0,0,26,1,burkinafaso,Ioba,150000,0.1000000015,cleanData2$adm0
3,24,2,1,5,HA,30,8000000,50,1000,1000,0,0,0,14,1,burkinafaso,Ioba,800000,0.25,cleanData2$adm0
3,16,2,1,7,HA,23,8000000,35.70999908,3500,0,0,100,3500,26,1,burkinafaso,Ioba,1000000,0.1000000015,cleanData2$adm0
1,9,2,1,5,HA,20,1000000,50,1500,1500,0,50,0,44,1,burkinafaso,Ioba,700000,0.200000003,cleanData2$adm0
2,12,2,1,6,HA,25,5000000,25,500,500,0,50,0,26,1,burkinafaso,Ioba,850000,0.1000000015,cleanData2$adm0
3,15,2,1,5.5,HA,3,30000,54.54999924,1080,864,0,864,216,26,1,burkinafaso,Bougouriba,800000,0,cleanData2$adm0
1,6,2,1,5.75,HA,2,50000,43.47999954,1900,0,0,300,1900,26,1,burkinafaso,Bougouriba,450000,0,cleanData2$adm0
3,21,2,1,5.75,HA,11,500000,43.47999954,963,0,0,420,963,14,1,burkinafaso,Bougouriba,900000,45,cleanData2$adm0
2,8,2,1,5.5,HA,7,200000,29.17000008,2940,1470,0,980,1470,26,1,burkinafaso,Bougouriba,590000,45,cleanData2$adm0
3,10,2,1,4,HA,4,50000000,50,1800,0,0,0,1800,26,1,burkinafaso,Boulgou,2000000,0,cleanData2$adm0
3,8,2,1,1.5,HA,8,2000000,50,1600,1600,0,0,0,44,1,burkinafaso,Boulgou,400000,0,cleanData2$adm0
3,17,2,2,1.75,HA,4,35000000,100,1500,1500,0,0,0,26,1,burkinafaso,Boulgou,750000,80,cleanData2$adm0
1,5,2,1,1,HA,15,650000,100,500,500,0,0,0,27,1,burkinafaso,Boulgou,260000,0,cleanData2$adm0
3,18,2,1,1.5,HA,15,650000,100,1200,1200,0,0,0,27,1,burkinafaso,Boulgou,800000,30,cleanData2$adm0
3,20,2,1,4,HA,20,30000000,75,2500,2500,0,0,0,27,1,burkinafaso,Boulgou,1200000,10,cleanData2$adm0
1,5,2,1,1,HA,4,2000000,100,800,800,0,0,0,27,1,burkinafaso,Boulgou,200000,0,cleanData2$adm0
2,7,2,12,2.5,HA,10,8000000,50,2000,2000,0,50,0,27,1,burkinafaso,Boulgou,300000,40,cleanData2$adm0
2,8,2,1,1,HA,15,3000000,50,1000,1000,0,0,0,27,1,burkinafaso,Boulgou,500000,0,cleanData2$adm0
1,3,2,9,2,HA,7,4000000,25,400,400,0,0,0,27,1,burkinafaso,Boulgou,350000,0,cleanData2$adm0
1,3,2,1,1,HA,5,2000000,25,300,300,0,0,0,26,1,burkinafaso,Boulgou,300000,0,cleanData2$adm0
2,15,2,1,3,HA,30,650000,71,1575,1458,0,0,0,44,2,burkinafaso,Boulkiemde,260000,89,cleanData2$adm0
1,16,2,1,3.75,HA,17,650000,27,385,375,0,0,0,27,1,burkinafaso,Boulkiemde,37600,0,cleanData2$adm0
1,15,2,1,3.5,HA,7,300000,78,2250,2205,0,10,0,44,1,burkinafaso,Boulkiemde,30500,89,cleanData2$adm0
1,9,2,1,1.5,HA,6,650000,50,1640,1378,100,0,0,44,1,burkinafaso,Boulkiemde,80675,0,cleanData2$adm0
2,15,2,1,18,HA,31,650000,17,2205,2075,100,0,0,44,1,burkinafaso,Boulkiemde,45000,90,cleanData2$adm0
2,15,2,1,8.5,HA,33,650000,29,1890,1830,30,0,0,44,1,burkinafaso,Boulkiemde,112000,15,cleanData2$adm0
2,20,2,1,4.75,HA,25,650000,70,1890,1700,30,0,0,44,1,burkinafaso,Boulkiemde,19700,84,cleanData2$adm0
1,19,2,5,3,HA,10,650000,100,2058,1756,50,0,0,27,2,burkinafaso,Boulkiemde,105500,41,cleanData2$adm0
1,10,2,1,2.5,HA,12,650000,67,930,780,50,0,0,44,1,burkinafaso,Boulkiemde,62000,71,cleanData2$adm0
2,26,2,1,4,HA,25,650000,75,2000,1950,50,0,0,44,1,burkinafaso,Boulkiemde,99000,60,cleanData2$adm0
2,20,2,1,6.5,HA,7,650000,46,2205,1900,36,0,168,44,1,burkinafaso,Boulkiemde,240650,0,cleanData2$adm0
1,18,2,1,6.75,HA,20,650000,48,1920,1800,50,0,0,44,1,burkinafaso,Boulkiemde,97250,51,cleanData2$adm0
2,20,2,1,4,HA,35,650000,63,1710,1395,50,0,240,44,1,burkinafaso,Boulkiemde,123750,22,cleanData2$adm0
3,23,2,1,25.25,HA,25,650000,65,11520,10572,36,0,120,44,1,burkinafaso,Boulkiemde,130000,70,cleanData2$adm0
3,26,2,1,4.9600000380000004,HA,30,650000,42,1525,1400,15,0,0,44,1,burkinafaso,Boulkiemde,158450,0,cleanData2$adm0
2,26,2,1,8.699999809,HA,40,650000,83,4447,4300,0,0,0,44,1,burkinafaso,Boulkiemde,81000,36,cleanData2$adm0
1,13,2,1,1.5,HA,10,650000,50,750,700,0,0,0,44,2,burkinafaso,Boulkiemde,204700,0,cleanData2$adm0
1,14,2,1,5.900000095,HA,15,650000,38,1387,1300,50,0,0,44,1,burkinafaso,Boulkiemde,125000,75,cleanData2$adm0
2,27,2,1,14,HA,30,650000,43,5550,5150,40,0,0,44,1,burkinafaso,Boulkiemde,500000,58,cleanData2$adm0
1,24,2,1,5.5,HA,31,650000,41,1575,1471,20,0,0,44,1,burkinafaso,Boulkiemde,123300,74,cleanData2$adm0
2,15,2,1,8,HA,7,1000000,56,1150,1082,20,0,48,44,1,burkinafaso,Boulkiemde,42750,32,cleanData2$adm0
2,11,2,1,2.5,HA,13,650000,80,1300,1108,0,0,192,44,1,burkinafaso,Boulkiemde,128430,66,cleanData2$adm0
2,26,2,1,13,HA,34,650000,35,2600,2550,50,0,0,44,2,burkinafaso,Boulkiemde,96450,38,cleanData2$adm0
2,16,2,1,9,HA,30,650000,22,1386,1266,20,0,0,44,1,burkinafaso,Boulkiemde,216775,6,cleanData2$adm0
2,16,2,1,7.5,HA,30,650000,27,1418,1218,50,0,30,44,1,burkinafaso,Boulkiemde,92000,14,cleanData2$adm0
1,6,2,1,2.9000000950000002,HA,35,650000,56,485,485,0,0,0,44,1,burkinafaso,Boulkiemde,13850,64,cleanData2$adm0
2,12,2,1,5,HA,25,650000,64,1700,1468,40,0,72,44,1,burkinafaso,Boulkiemde,55100,15,cleanData2$adm0
1,7,2,1,5,HA,14,650000,35,975,930,10,0,0,44,2,burkinafaso,Boulkiemde,3250,92,cleanData2$adm0
2,17,2,1,6.75,HA,30,650000,44,1965,1600,20,0,126,44,1,burkinafaso,Boulkiemde,374325,85,cleanData2$adm0
2,8,2,2,1.5,HA,24,1000000,40,1500,1000,0,1000,500,26,1,burkinafaso,Poni,150000,50,cleanData2$adm0
2,8,2,2,4,HA,5,1500000,25,1500,1500,500,150,0,26,2,burkinafaso,Poni,50000,66,cleanData2$adm0
2,15,2,1,4.5,HA,13,6500000,31,1000,1000,0,1100,0,26,2,burkinafaso,Poni,100000,8,cleanData2$adm0
2,13,2,2,2,HA,4,4000000,85,4500,1200,0,500,2000,26,1,burkinafaso,Poni,330000,106,cleanData2$adm0
2,8,2,2,2.5,HA,5,5000000,16,1400,1400,0,600,0,26,2,burkinafaso,Poni,100000,8,cleanData2$adm0
1,6,2,2,1,HA,3,3000000,80,500,500,0,500,0,26,1,burkinafaso,Poni,75000,46,cleanData2$adm0
2,12,2,1,5,HA,11,1500000,50,2500,1000,0,1000,2000,26,1,burkinafaso,Comoe,450000,8,cleanData2$adm0
2,13,2,1,10,HA,17,2500000,50,9400,3600,100,1600,2000,26,1,burkinafaso,Comoe,600000,19,cleanData2$adm0
3,15,2,1,15,HA,13,2000000,50,9000,4000,20,1000,2000,26,1,burkinafaso,Comoe,500000,20,cleanData2$adm0
1,9,2,1,5,HA,25,125000,50,2500,1500,0,500,800,26,1,burkinafaso,Comoe,150000,8,cleanData2$adm0
2,8,2,1,5,HA,5,650000,50,3800,1800,0,1100,500,26,1,burkinafaso,Comoe,325000,3,cleanData2$adm0
3,26,2,1,30,HA,13,50000000,50,12000,8450,0,7000,3550,26,1,burkinafaso,Comoe,9000,8,cleanData2$adm0
1,10,2,1,4,HA,20,425000,50,7000,1000,0,3000,6000,55,1,burkinafaso,Comoe,325000,8,cleanData2$adm0
2,13,2,1,10,HA,18,650000,50,2000,2000,0,1000,0,26,2,burkinafaso,Comoe,1500000,8,cleanData2$adm0
3,28,2,1,22,HA,8,3000000,50,7200,4400,0,800,100,26,2,burkinafaso,Comoe,532500,8,cleanData2$adm0
1,24,2,1,4.5,HA,19,700000,50,2500,2500,0,2500,0,26,2,burkinafaso,Comoe,42000,59.52000046,cleanData2$adm0
2,15,2,1,3,HA,13,1000000,50,1000,400,0,5000,600,26,2,burkinafaso,Comoe,48000,8,cleanData2$adm0
3,15,2,1,11,HA,17,670000,50,2500,1000,60,3000,200,26,2,burkinafaso,Comoe,100000,8,cleanData2$adm0
1,13,2,1,5,HA,10,3000000,50,300,300,0,1700,0,26,1,burkinafaso,Comoe,50000,8,cleanData2$adm0
2,10,2,1,10,HA,18,11000000,50,18000,2000,0,42000,16000,55,1,burkinafaso,Comoe,600000,8,cleanData2$adm0
3,25,2,1,9,HA,13,15000000,50,4000,2200,0,8000,100,26,1,burkinafaso,Comoe,395000,8,cleanData2$adm0
1,10,2,1,5,HA,12,2000000,50,5100,1500,100,5400,100,26,1,burkinafaso,Comoe,15000,8,cleanData2$adm0
2,20,2,1,7,HA,6,6000000,50,10100,5000,200,5900,100,26,1,burkinafaso,Comoe,800000,12,cleanData2$adm0
3,24,2,1,15,HA,5,30000000,50,10500,5000,340,13500,100,26,1,burkinafaso,Comoe,600000,8,cleanData2$adm0
3,26,2,1,25,HA,4,500000000,50,6600,1800,0,11400,4100,26,1,burkinafaso,Comoe,600000,66,cleanData2$adm0
2,21,2,1,8,HA,17,100000000,50,5500,2200,100,3500,1400,26,1,burkinafaso,Comoe,750000,66,cleanData2$adm0
1,14,2,1,5,HA,10,20000000,50,5000,4100,0,2000,400,26,1,burkinafaso,Comoe,2000000,8,cleanData2$adm0
2,9,2,1,10,HA,15,100000000,50,5500,500,100,1500,4900,44,1,burkinafaso,Comoe,2500000,80,cleanData2$adm0
3,24,2,1,22,HA,15,30000000,50,38000,7000,0,28000,31000,55,1,burkinafaso,Comoe,3000000,30,cleanData2$adm0
1,13,2,1,4,HA,15,100000000,50,5550,2600,0,500,2700,26,1,burkinafaso,Comoe,500000,11,cleanData2$adm0
1,7,2,1,5,HA,17,500000,50,2300,2300,0,2700,0,26,2,burkinafaso,Comoe,26500,33,cleanData2$adm0
1,12,2,1,4,HA,12,2000000,50,3200,1500,0,2800,1700,26,2,burkinafaso,Comoe,100000,77,cleanData2$adm0
3,14,2,1,16,HA,17,10000000,50,4100,2700,0,1900,1400,26,2,burkinafaso,Comoe,350000,34,cleanData2$adm0
3,20,2,1,22,HA,9,20000000,50,8000,5000,200,4000,2200,26,1,burkinafaso,Comoe,300000,66,cleanData2$adm0
2,8,2,2,3.5,HA,20,650000,40,1400,0,0,600,1400,14,1,burkinafaso,Comoe,1500000,0,cleanData2$adm0
3,16,2,2,9,HA,25,5875000,40,5300,0,100,300,5300,14,1,burkinafaso,Comoe,500000,8,cleanData2$adm0
2,14,2,2,3,HA,4,1000000,30,5700,4400,0,200,1000,14,1,burkinafaso,Comoe,2900000,8,cleanData2$adm0
2,7,2,2,4,HA,10,1700000,40,2000,0,0,100,2000,14,1,burkinafaso,Comoe,1500000,8,cleanData2$adm0
3,24,2,2,8.5,HA,4,4000000,30,6423,0,0,400,6423,14,1,burkinafaso,Comoe,6000000,8,cleanData2$adm0
1,7,2,2,3.5,HA,15,6500000,20,2500,0,0,450,2500,14,1,burkinafaso,Comoe,3000000,8,cleanData2$adm0
1,13,2,2,4.5,HA,8,1095000,30,1400,1400,0,100,0,26,1,burkinafaso,Comoe,750000,8,cleanData2$adm0
1,11,2,2,6.5,HA,3,3000000,35,600,600,0,1500,0,26,1,burkinafaso,Comoe,8000000,8,cleanData2$adm0
3,19,2,2,18,HA,6,16000000,20,16000,4000,0,3200,12000,26,1,burkinafaso,Comoe,18000000,8,cleanData2$adm0
1,6,2,2,3.25,HA,4,4000000,30,5000,0,0,500,5000,14,1,burkinafaso,Comoe,2000000,8,cleanData2$adm0
1,11,2,2,3,HA,8,13000000,40,4000,0,0,500,4000,14,1,burkinafaso,Comoe,4000000,8,cleanData2$adm0
1,10,2,2,4,HA,30,3000000,35,3000,0,0,500,3000,14,1,burkinafaso,Comoe,1025000,8,cleanData2$adm0
1,8,2,2,4,HA,8,4000000,50,2600,0,0,800,2600,14,1,burkinafaso,Comoe,2000000,8,cleanData2$adm0
1,6,2,2,3,HA,15,3000000,35,4000,0,0,500,4000,14,1,burkinafaso,Comoe,2000000,8,cleanData2$adm0
1,6,2,2,3,HA,9,2000000,40,4500,0,0,1000,4500,14,1,burkinafaso,Comoe,5000000,8,cleanData2$adm0
2,14,2,2,4.5,HA,4,5250000,40,3700,0,0,1500,3700,14,1,burkinafaso,Comoe,4000000,8,cleanData2$adm0
2,12,2,2,4,HA,32,2800000,50,1800,1800,0,1000,0,22,1,burkinafaso,Comoe,300000,8,cleanData2$adm0
2,14,2,2,5,HA,35,2800000,45,4200,1200,0,1000,100,14,1,burkinafaso,Comoe,650000,8,cleanData2$adm0
3,17,2,2,21,HA,45,3700000,20,10000,7000,0,1000,3000,14,1,burkinafaso,Comoe,1500000,8,cleanData2$adm0
3,16,2,2,10,HA,11,1750000,25,25000,23500,0,2000,1500,14,1,burkinafaso,Comoe,1500000,8,cleanData2$adm0
3,15,2,2,18.5,HA,4,2700000,25,2020,0,0,1900,2020,14,1,burkinafaso,Comoe,1900000,8,cleanData2$adm0
2,9,2,2,6.5,HA,30,3000000,51,4200,0,0,1500,4200,14,1,burkinafaso,Comoe,150000,8,cleanData2$adm0
3,12,2,2,6.5,HA,40,4300000,20,5000,3000,100,3000,2000,14,1,burkinafaso,Comoe,800000,8,cleanData2$adm0
2,10,2,2,6,HA,4,3500000,25,1240,0,0,1000,1240,44,1,burkinafaso,Comoe,600000,8,cleanData2$adm0
3,13,2,2,5,HA,5,1750000,30,1000,600,0,3000,400,44,1,burkinafaso,Comoe,600000,8,cleanData2$adm0
3,16,2,2,10.5,HA,15,4200000,35,1500,0,0,100,1500,5,1,burkinafaso,Comoe,1000000,8,cleanData2$adm0
1,7,2,2,4,HA,4,150000,35,1500,900,0,4500,600,26,1,burkinafaso,Comoe,500000,8,cleanData2$adm0
1,8,2,1,1.5,HA,25,8625000,26,2000,1000,0,0,1000,44,1,burkinafaso,Ganzourgou,701625,0,cleanData2$adm0
3,23,2,1,20,HA,23,5385000,46,8400,7400,0,0,1000,44,1,burkinafaso,Ganzourgou,1847000,0.0599999987,cleanData2$adm0
1,14,2,1,2,HA,20,2220000,44,2500,0,0,0,2500,14,1,burkinafaso,Ganzourgou,700150,0,cleanData2$adm0
3,27,2,1,4,HA,23,11289000,43,10500,10000,0,0,500,44,1,burkinafaso,Ganzourgou,2276700,0.0199999996,cleanData2$adm0
2,7,2,1,2.5,HA,22,25000000,27,25000,400,0,2000,22600,56,1,burkinafaso,Ganzourgou,708500,0.0759999976,cleanData2$adm0
3,26,2,1,6,HA,30,5555000,33.29999924,4800,4200,0,0,600,44,1,burkinafaso,Ganzourgou,2470600,0.202000007,cleanData2$adm0
2,11,2,1,20,HA,15,3840000,18.60000038,3000,3000,0,0,0,44,1,burkinafaso,Ganzourgou,1470000,0,cleanData2$adm0
1,10,2,1,1.25,HA,2,6360000,41.59999847,600,500,0,0,100,27,1,burkinafaso,Ganzourgou,164000,2.4000000950000002,cleanData2$adm0
2,14,2,1,2,HA,23,3445000,53.79999924,5400,4800,0,0,600,44,1,burkinafaso,Ganzourgou,1110000,22.5,cleanData2$adm0
1,10,2,1,1.5,HA,23,3427500,24,1300,0,0,0,1300,14,1,burkinafaso,Ganzourgou,797500,0,cleanData2$adm0
3,19,2,1,3,HA,23,5457000,37.70000076,2700,2500,0,0,200,44,1,burkinafaso,Ganzourgou,1127000,0,cleanData2$adm0
1,10,2,1,1.5,HA,18,6610000,27.200000760000002,2600,1700,0,0,900,26,1,burkinafaso,Ganzourgou,787750,0.3170000017,cleanData2$adm0
1,11,2,1,1.5,HA,24,1145000,33.29999924,1300,0,0,0,1300,14,1,burkinafaso,Ganzourgou,568500,0.2630000114,cleanData2$adm0
2,16,2,1,4,HA,20,4243000,39,4500,3500,0,0,1000,44,1,burkinafaso,Ganzourgou,610000,0.1220000014,cleanData2$adm0
3,27,2,1,4,HA,22,22465000,29.60000038,5000,0,0,0,5000,14,1,burkinafaso,Ganzourgou,1065000,0.0579999983,cleanData2$adm0
2,11,2,1,2.5,HA,28,9395000,26.299999239999998,2375,0,0,0,2375,14,1,burkinafaso,Ganzourgou,750000,0.200000003,cleanData2$adm0
2,10,2,1,1.5,HA,23,2500000,35,1800,0,0,0,1800,14,1,burkinafaso,Ganzourgou,596000,0.1199999973,cleanData2$adm0
2,20,2,1,2.5,HA,23,7800000,25,3750,50,0,0,3700,14,1,burkinafaso,Ganzourgou,1104500,0.1800000072,cleanData2$adm0
1,13,2,1,2,HA,27,650000,47,6600,5400,0,100,1100,44,1,burkinafaso,Ganzourgou,1114500,0.1700000018,cleanData2$adm0
3,22,2,1,3,HA,22,650000,38,2800,2500,0,100,200,44,1,burkinafaso,Ganzourgou,1764500,0,cleanData2$adm0
1,7,2,1,1.5,HA,15,3000000,41,1350,700,0,0,650,44,1,burkinafaso,Ganzourgou,378500,0,cleanData2$adm0
1,10,2,1,1.5,HA,20,5900000,27,2600,1700,0,0,900,26,1,burkinafaso,Ganzourgou,850000,0.2300000042,cleanData2$adm0
1,10,2,1,1.5,HA,22,2750000,35,1800,0,0,0,1800,14,1,burkinafaso,Ganzourgou,625000,0.1099999994,cleanData2$adm0
3,24,2,1,2,HA,23,6500000,46,8400,7400,0,150,850,24,1,burkinafaso,Ganzourgou,1950000,0.0500000007,cleanData2$adm0
2,11,2,1,1.5,HA,24,1200000,33,1300,0,0,0,1300,14,1,burkinafaso,Ganzourgou,750000,0.150000006,cleanData2$adm0
2,8,2,1,1.5,HA,25,3700000,26,2000,1000,0,100,900,44,1,burkinafaso,Ganzourgou,850000,0,cleanData2$adm0
2,10,2,1,2,HA,23,2750000,30,1600,1600,0,0,0,44,1,burkinafaso,Ganzourgou,692000,0.1400000006,cleanData2$adm0
2,9,2,1,1,HA,7,650000,5,600,600,0,10,0,44,1,burkinafaso,Koulpeologo,400000,50,cleanData2$adm0
1,6,2,1,2,HA,10,650000,50,800,600,0,80,120,44,1,burkinafaso,Koulpeologo,250000,40,cleanData2$adm0
1,7,2,1,2,HA,20,650000,15,300,200,0,20,80,27,2,burkinafaso,Koulpeologo,150000,20,cleanData2$adm0
1,9,2,1,6,HA,10,3000000,66,3000,750,200,0,2050,27,1,burkinafaso,Gourma,635000,0,cleanData2$adm0
2,16,2,1,14,HA,10,20000000,40,5250,3500,100,200,1450,27,1,burkinafaso,Gourma,943100,0,cleanData2$adm0
2,13,2,1,8,HA,18,15000000,25,2000,1000,100,10,890,44,1,burkinafaso,Gourma,1066850,0,cleanData2$adm0
1,12,2,1,6,HA,7,1500000,75,2500,2350,150,0,0,27,1,burkinafaso,Gourma,319875,73.15000153,cleanData2$adm0
1,8,2,1,3.25,HA,15,490000,61.5,700,625,50,25,0,27,1,burkinafaso,Gourma,111750,22.37000084,cleanData2$adm0
1,7,2,1,5,HA,12,1250000,60,2000,1440,60,0,500,27,1,burkinafaso,Gourma,225000,23,cleanData2$adm0
2,12,2,1,8,HA,9,2150000,50,3200,2550,100,50,500,27,1,burkinafaso,Gourma,559000,0,cleanData2$adm0
2,10,2,1,5,HA,37,1365000,60,3000,2410,90,100,400,44,1,burkinafaso,Gourma,50000,60,cleanData2$adm0
2,5,2,1,6.5,HA,25,1620000,92.30000305,3000,2410,90,100,400,27,1,burkinafaso,Gourma,201000,38.79999924,cleanData2$adm0
2,5,2,1,5.25,HA,20,1080000,47.59999847,2000,1580,30,90,300,44,1,burkinafaso,Gourma,20500,0,cleanData2$adm0
1,11,2,1,5.25,HA,3,1500000,38,2100,2015,20,45,20,44,1,burkinafaso,Gourma,41200,0,cleanData2$adm0
1,6,2,1,3,HA,2,615000,66.68000031,1700,1350,100,50,200,44,1,burkinafaso,Gourma,182000,0,cleanData2$adm0
1,4,2,1,2.75,HA,4,400000,36.36000061,250,235,15,0,0,44,1,burkinafaso,Gourma,24500,0,cleanData2$adm0
2,9,2,1,12,HA,13,3000000,83.33000183,7000,4850,100,50,2000,27,1,burkinafaso,Gourma,212000,0,cleanData2$adm0
2,12,2,1,7,HA,20,650000,71.41999817,2500,2150,0,0,350,27,1,burkinafaso,Gourma,97500,0,cleanData2$adm0
1,7,2,1,3,HA,10,650000,85.70999908,1100,890,10,0,200,27,1,burkinafaso,Gourma,105000,0,cleanData2$adm0
1,6,2,1,5,HA,16,1250000,80,1200,800,190,50,200,27,1,burkinafaso,Gourma,124500,0,cleanData2$adm0
1,6,2,1,6.5,HA,12,650000,46.15000153,950,925,15,10,0,27,1,burkinafaso,Gourma,335000,59.70000076,cleanData2$adm0
1,5,2,1,3,HA,6,750000,83.33000183,1500,940,45,15,500,27,1,burkinafaso,Gourma,100000,60,cleanData2$adm0
2,19,2,1,17.5,HA,20,4320000,57.13999939,4000,3935,50,15,0,27,1,burkinafaso,Gourma,716500,0,cleanData2$adm0
2,9,2,1,11.5,HA,30,4860000,43.47000122,2000,950,50,0,1000,44,1,burkinafaso,Gourma,333700,0,cleanData2$adm0
2,20,2,1,8,HA,4,650000,100,4000,3950,50,0,0,27,1,burkinafaso,Gourma,314700,0,cleanData2$adm0
2,15,2,1,14,HA,11,650000,56.25,5265,100,50,0,0,27,1,burkinafaso,Gourma,748750,0,cleanData2$adm0
2,16,2,1,13,HA,5,650000,69.23000336,5000,3840,60,0,1100,27,1,burkinafaso,Gourma,599000,30.05999947,cleanData2$adm0
1,14,2,1,2.5,HA,20,540000,60,825,800,25,0,0,27,1,burkinafaso,Gourma,0,0,cleanData2$adm0
1,7,2,1,6.25,HA,12,1000000,56,3600,3385,200,15,0,27,1,burkinafaso,Gourma,157250,0,cleanData2$adm0
1,3,2,1,0,HA,3,350000,100,1000,500,0,100,400,44,1,burkinafaso,Komandjari,185000,21000,cleanData2$adm0
1,3,2,1,0.75,HA,4,475000,100,1000,500,0,100,400,44,1,burkinafaso,Komandjari,100000,60000,cleanData2$adm0
2,11,2,1,3,HA,23,700000,54.54999924,2000,1700,150,200,300,44,1,burkinafaso,Komandjari,1800000,8,cleanData2$adm0
1,2,2,1,1,HA,3,650000,100,1000,450,0,100,400,44,2,burkinafaso,Komandjari,145000,75000,cleanData2$adm0
2,13,2,1,3,HA,12,1000000,100,2000,1500,0,300,200,44,2,burkinafaso,Komandjari,100000,100000,cleanData2$adm0
1,2,2,1,0.75,HA,4,100000,100,400,400,0,50,0,44,2,burkinafaso,Komandjari,0,250000,cleanData2$adm0
